Entry,Pass,Range,Code,Pedigree,Site Release,Year Release,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm),Origin,Country,Section
36,8,4,GEMN-DH-0586,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0586,,,1455,1545,264,114,,,GEMN DH Line
37,9,4,GEMN-DH-0628,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0628,,,1560,1560,226,114,,,GEMN DH Line
38,10,4,GEMN-DH-0667,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0667,,,1640,1692,251,91,,,GEMN DH Line
39,11,4,GEMN-DH-0732,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0732,,,1503,1503,226,76,,,GEMN DH Line
40,12,4,GEMN-DH-0775,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0775,,,1480,1566,236,74,,,GEMN DH Line
41,13,4,GEMN-DH-0831,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0831,,,1621,1621,257,107,,,GEMN DH Line
42,14,4,GEMN-DH-0888,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0888,,,1586,1566,262,81,,,GEMN DH Line
43,15,4,GEMN-DH-0932,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0932,,,1480,1525,196,58,,,GEMN DH Line
44,16,4,GEMN-DH-1013,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-1013,,,1396,1396,198,84,,,GEMN DH Line
45,17,4,GEMN-DH-1108,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-1108,,,1426,1455,262,89,,,GEMN DH Line
46,18,4,GEMN-DH-1149,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-1149,,,1525,1566,272,145,,,GEMN DH Line
